here
429197 20438
Loading done. 423130 pairs from /shared/data/qiz3/cs412fa18-final-proj/network-embedding-evaluation/results/HEER_scores.txt
edge is 26:d-1with avg mrr 0.916254125412541
edge is 27:dwith avg mrr 0.8644574405615414
edge is 27:d-1with avg mrr 0.896666530105016
edge is 28:dwith avg mrr 0.4457252459160862
edge is 28:d-1with avg mrr 0.6832485156912638
edge is 29:dwith avg mrr 0.9760981912144702
edge is 29:d-1with avg mrr 0.9483204134366925
edge is 2:dwith avg mrr 0.8905337941628263
edge is 2:d-1with avg mrr 0.8999327956989246
edge is 30:dwith avg mrr 0.9035310734463275
edge is 30:d-1with avg mrr 0.8444915254237289
edge is 31:dwith avg mrr 0.9360616953068478
edge is 31:d-1with avg mrr 0.8866448417694958
edge is 32:dwith avg mrr 0.8242361111111111
edge is 32:d-1with avg mrr 0.7744548160173161
edge is 33:dwith avg mrr 0.10561045234958275
edge is 33:d-1with avg mrr 0.473999309868875
edge is 34:dwith avg mrr 0.22212140324723104
edge is 34:d-1with avg mrr 0.5927073478397984
edge is 35:dwith avg mrr 0.9957264957264957
edge is 35:d-1with avg mrr 0.9857549857549858
edge is 36:dwith avg mrr 1.0
edge is 36:d-1with avg mrr 1.0
edge is 37:dwith avg mrr 0.8706876456876459
edge is 37:d-1with avg mrr 0.8205437419723137
edge is 38:dwith avg mrr 0.8867514430014429
edge is 38:d-1with avg mrr 0.9200757575757575
edge is 39:dwith avg mrr 0.5411921411921415
edge is 39:d-1with avg mrr 0.6019129019129019
edge is 3:dwith avg mrr 0.9817073170731707
edge is 3:d-1with avg mrr 0.9369918699186991
edge is 40:dwith avg mrr 0.890625
edge is 40:d-1with avg mrr 0.96875
edge is 41:dwith avg mrr 0.8461024720893141
edge is 41:d-1with avg mrr 0.9219924812030075
edge is 42:dwith avg mrr 0.8957516339869281
edge is 42:d-1with avg mrr 0.7014069264069266
edge is 43:dwith avg mrr 0.8572402431920776
edge is 43:d-1with avg mrr 0.8520460999245401
edge is 44:dwith avg mrr 0.9183531746031746
edge is 44:d-1with avg mrr 0.925907029478458
edge is 45:dwith avg mrr 0.6424614448051947
edge is 45:d-1with avg mrr 0.6203023538961038
edge is 46:dwith avg mrr 0.9327777777777777
edge is 46:d-1with avg mrr 0.923611111111111
edge is 47:dwith avg mrr 0.8923306833353561
edge is 47:d-1with avg mrr 0.8810118879044114
edge is 48:dwith avg mrr 0.3741420859841912
edge is 48:d-1with avg mrr 0.5943235857709539
edge is 49:dwith avg mrr 1.0
edge is 49:d-1with avg mrr 1.0
edge is 4:dwith avg mrr 1.0
edge is 4:d-1with avg mrr 1.0
edge is 50:dwith avg mrr 0.5816952163726359
edge is 50:d-1with avg mrr 0.6168939781843008
edge is 51:dwith avg mrr 0.5701388888888889
edge is 51:d-1with avg mrr 0.8000000000000002
edge is 52:dwith avg mrr 0.8594869906725576
edge is 52:d-1with avg mrr 0.9146751015307716
edge is 54:dwith avg mrr 0.7984848484848484
edge is 54:d-1with avg mrr 0.753030303030303
edge is 55:dwith avg mrr 0.9545454545454546
edge is 55:d-1with avg mrr 0.5681818181818182
edge is 56:dwith avg mrr 0.8975694444444445
edge is 56:d-1with avg mrr 0.8524305555555555
edge is 57:dwith avg mrr 1.0
edge is 57:d-1with avg mrr 1.0
edge is 58:dwith avg mrr 0.9636363636363636
edge is 58:d-1with avg mrr 0.9763636363636364
edge is 59:dwith avg mrr 0.6811265854029014
edge is 59:d-1with avg mrr 0.6691003075871498
edge is 5:dwith avg mrr 1.0
edge is 5:d-1with avg mrr 0.95
edge is 60:dwith avg mrr 0.09516714766714764
edge is 60:d-1with avg mrr 0.1833988696488696
edge is 61:dwith avg mrr 0.8455555555555555
edge is 61:d-1with avg mrr 0.8422222222222223
edge is 62:dwith avg mrr 0.98
edge is 62:d-1with avg mrr 0.97
edge is 63:dwith avg mrr 0.8851360544217688
edge is 63:d-1with avg mrr 0.8686281179138322
edge is 64:dwith avg mrr 1.0
edge is 64:d-1with avg mrr 1.0
edge is 65:dwith avg mrr 1.0
edge is 65:d-1with avg mrr 1.0
edge is 66:dwith avg mrr 0.5314794313154969
edge is 66:d-1with avg mrr 0.6114822700068601
edge is 67:dwith avg mrr 0.8984126984126984
edge is 67:d-1with avg mrr 0.8629629629629629
edge is 68:dwith avg mrr 0.9247004933051446
edge is 68:d-1with avg mrr 0.9247093023255815
edge is 69:dwith avg mrr 0.9761904761904762
edge is 69:d-1with avg mrr 0.9841269841269841
edge is 6:dwith avg mrr 0.7421470342522978
edge is 6:d-1with avg mrr 0.7332955753709339
edge is 70:dwith avg mrr 0.8197171717171716
edge is 70:d-1with avg mrr 0.7439999999999999
edge is 71:dwith avg mrr 0.7057945706352078
edge is 71:d-1with avg mrr 0.7219337656588654
edge is 72:dwith avg mrr 0.956221198156682
edge is 72:d-1with avg mrr 0.9731182795698925
edge is 73:dwith avg mrr 0.9868421052631579
edge is 73:d-1with avg mrr 1.0
edge is 74:dwith avg mrr 0.844551282051282
edge is 74:d-1with avg mrr 0.8028846153846154
edge is 75:dwith avg mrr 1.0
edge is 75:d-1with avg mrr 0.9905660377358491
edge is 76:dwith avg mrr 0.8848444008821367
edge is 76:d-1with avg mrr 0.8890792017207112
edge is 77:dwith avg mrr 0.5189393939393939
edge is 77:d-1with avg mrr 0.5295454545454545
edge is 78:dwith avg mrr 1.0
edge is 78:d-1with avg mrr 1.0
edge is 79:dwith avg mrr 0.9761904761904762
edge is 79:d-1with avg mrr 0.9166666666666666
edge is 7:dwith avg mrr 0.9514957264957264
