here
429197 20438
Loading done. 423130 pairs from /shared/data/qiz3/cs412fa18-final-proj/network-embedding-evaluation/results/DistMult_scores.txt
edge is 215:d-1with avg mrr 0.21931818181818177
edge is 216:dwith avg mrr 0.14922380486896616
edge is 216:d-1with avg mrr 0.14679630405436855
edge is 217:dwith avg mrr 0.2849257884972171
edge is 217:d-1with avg mrr 0.2674792139077854
edge is 218:dwith avg mrr 0.18716006216006217
edge is 218:d-1with avg mrr 0.20883838383838382
edge is 219:dwith avg mrr 0.10675505050505052
edge is 219:d-1with avg mrr 0.12916666666666665
edge is 21:dwith avg mrr 0.19351769979429592
edge is 21:d-1with avg mrr 0.19898744281723055
edge is 220:dwith avg mrr 0.16210497835497836
edge is 220:d-1with avg mrr 0.18097402597402595
edge is 221:dwith avg mrr 0.15700306637806638
edge is 221:d-1with avg mrr 0.21984126984126987
edge is 222:dwith avg mrr 0.32189199689199693
edge is 222:d-1with avg mrr 0.29761904761904767
edge is 223:dwith avg mrr 0.1053030303030303
edge is 223:d-1with avg mrr 0.1525252525252525
edge is 224:dwith avg mrr 0.2329880437023294
edge is 224:d-1with avg mrr 0.26122861265718417
edge is 226:dwith avg mrr 0.21887526054192719
edge is 226:d-1with avg mrr 0.4469135802469136
edge is 227:dwith avg mrr 0.26567911255411253
edge is 227:d-1with avg mrr 0.1436147186147186
edge is 228:dwith avg mrr 0.24667748917748916
edge is 228:d-1with avg mrr 0.25303030303030305
edge is 229:dwith avg mrr 0.3264374514374514
edge is 229:d-1with avg mrr 0.22717005217005218
edge is 22:dwith avg mrr 0.24814033769017751
edge is 22:d-1with avg mrr 0.19398811263763102
edge is 230:dwith avg mrr 0.1823232323232323
edge is 230:d-1with avg mrr 0.18880671797338466
edge is 231:dwith avg mrr 0.0909090909090909
edge is 231:d-1with avg mrr 0.0909090909090909
edge is 232:dwith avg mrr 0.1469997594997595
edge is 232:d-1with avg mrr 0.29176587301587303
edge is 233:dwith avg mrr 0.1780071119356834
edge is 233:d-1with avg mrr 0.23486909915481347
edge is 235:dwith avg mrr 0.09090909090909093
edge is 235:d-1with avg mrr 0.09090909090909093
edge is 236:dwith avg mrr 0.30707070707070705
edge is 236:d-1with avg mrr 0.1678651595318262
edge is 23:dwith avg mrr 0.5001924001924004
edge is 23:d-1with avg mrr 0.49530160233285253
edge is 24:dwith avg mrr 0.21706943383413985
edge is 24:d-1with avg mrr 0.3048480604362962
edge is 25:dwith avg mrr 0.3285421290497437
edge is 25:d-1with avg mrr 0.28537267160363633
edge is 26:dwith avg mrr 0.6161875711380657
edge is 26:d-1with avg mrr 0.1604294953304858
edge is 27:dwith avg mrr 0.2563575138496277
edge is 27:d-1with avg mrr 0.23601540415420583
edge is 28:dwith avg mrr 0.15896092880825705
edge is 28:d-1with avg mrr 0.1901008448718372
edge is 29:dwith avg mrr 0.43975608801190214
edge is 29:d-1with avg mrr 0.28640222826269374
edge is 2:dwith avg mrr 0.353463494390914
edge is 2:d-1with avg mrr 0.37783887259693755
edge is 30:dwith avg mrr 0.33064329738058573
edge is 30:d-1with avg mrr 0.32168384816689916
edge is 31:dwith avg mrr 0.40504101161995837
edge is 31:d-1with avg mrr 0.169205909510619
edge is 32:dwith avg mrr 0.13822352994227982
edge is 32:d-1with avg mrr 0.364175234487735
edge is 33:dwith avg mrr 0.26394927536231894
edge is 33:d-1with avg mrr 0.24512202773072328
edge is 34:dwith avg mrr 0.9234731420161885
edge is 34:d-1with avg mrr 0.8567328918322298
edge is 35:dwith avg mrr 0.12388599055265723
edge is 35:d-1with avg mrr 0.17741240241240236
edge is 36:dwith avg mrr 0.14285714285714285
edge is 36:d-1with avg mrr 0.1111111111111111
edge is 37:dwith avg mrr 0.28586611800897505
edge is 37:d-1with avg mrr 0.28989938632795764
edge is 38:dwith avg mrr 0.455908380340199
